p,n,time1d_us,time2d_us,speedup1d,efficiency1d,speedup2d,efficiency2d
1,512,992.00,1045.00,1.0000,1.0000,1.0000,1.0000
1,512,1012.00,1048.00,0.9832,0.9832,1.0105,1.0105
2,1024,17880.00,17903.00,0.2323,0.1162,0.2369,0.1184
3,1536,3298.00,3506.00,2.8211,0.9404,2.6708,0.8903
4,2048,4571.00,4639.00,3.2520,0.8130,3.5643,0.8911
5,2560,5888.00,5875.00,2.4594,0.4919,4.3809,0.8762
6,3072,7088.00,6808.00,2.9292,0.4882,5.4166,0.9028
7,3584,7855.00,8400.00,7.0964,1.0138,5.9645,0.8521
8,4096,9003.00,9467.00,7.6613,0.9577,6.9017,0.8627
