n,p,time1d_us,time2d_us,speedup1d,efficiency1d,speedup2d,efficiency2d
512,8,482.00,507.00,2.0871,0.2609,2.0947,0.2618
1024,8,890.00,945.00,4.6865,0.5858,4.5323,0.5665
2048,8,2577.00,2564.00,6.3675,0.7959,6.4676,0.8085
4096,8,8961.00,9468.00,7.3571,0.9196,6.9214,0.8652
