k,W,n,p_1d,p_2d,time1d_us,speedup1d,efficiency1d,time2d_us,speedup2d,efficiency2d
1,1,512,1,1,994.00,1.0000,1.0000,1047.00,1.0000,1.0000
2,4,1024,2,2,17721.00,0.2339,0.1169,2520.00,1.6845,0.8423
3,9,1536,3,3,3301.00,2.8134,0.9378,3490.00,2.8903,0.9634
4,16,2048,4,4,4416.00,3.7185,0.9296,4619.00,3.6341,0.9085
5,25,2560,5,5,5939.00,2.4371,0.4874,5874.00,4.3677,0.8735
6,36,3072,6,6,6925.00,3.0025,0.5004,6833.00,5.4108,0.9018
7,49,3584,7,7,7855.00,7.6653,1.0950,8386.00,5.9701,0.8529
8,64,4096,8,8,8964.00,8.2515,1.0314,9486.00,6.9295,0.8662
